#{"t_start": 1621313135.3959942, "env_id": null}
r,l,t
0,20,0.075147
0,64,0.252547
0,32,0.338069
0,16,0.381093
0,29,0.456283
0,16,0.498502
0,12,0.533397
0,11,0.567815
0,30,0.650159
0,19,0.713152
0,32,0.799751
0,15,0.840762
0,26,0.914757
0,28,0.986714
0,4,0.999819
0,27,1.070615
0,93,1.331873
0,23,1.394016
0,53,1.528469
0,28,1.611892
0,40,1.712919
0,27,1.780942
0,28,1.850753
0,40,1.950764
0,38,2.051566
0,37,2.173245
0,25,2.238549
0,47,2.351015
0,21,2.405137
0,50,2.534898
0,13,2.568106
0,24,2.637227
0,42,2.743948
0,42,2.852669
0,23,2.91376
0,49,3.050489
0,15,3.095668
0,15,3.141193
0,44,3.257898
0,40,3.35933
0,20,3.411685
0,3,3.422717
0,45,3.544314
0,20,3.598261
0,34,3.704573
0,28,3.778043
0,24,3.852595
0,34,3.956341
0,57,4.10515
0,29,4.196066
0,12,4.234763
0,15,4.27862
0,34,4.363525
0,13,4.399731
0,31,4.540616
0,34,4.689191
0,21,4.780009
0,41,4.901394
0,40,5.00558
0,38,5.103464
0,40,5.212119
0,16,5.254678
0,34,5.344393
0,47,5.461872
0,7,5.482321
0,25,5.581076
0,29,5.697056
0,15,5.746441
0,49,5.908518
0,40,6.052929
0,40,6.17118
0,30,6.270014
0,27,6.350059
0,48,6.518886
0,10,6.561684
0,32,6.657518
0,43,6.776783
0,19,6.828057
0,38,6.928341
0,21,6.982894
0,63,7.141621
0,25,7.206991
0,29,7.290049
0,23,7.349786
0,55,7.488827
0,32,7.569545
0,15,7.617911
0,15,7.666165
0,40,7.775486
0,12,7.80803
0,71,7.988405
0,57,8.138767
0,41,8.242388
0,40,8.342817
0,25,8.406847
0,40,8.519489
0,22,8.617017
0,15,8.660909
0,31,8.802883
0,39,8.928572
0,55,9.064972
0,40,9.168318
0,11,9.21437
0,16,9.274744
0,34,9.364451
0,5,9.380781
0,40,9.483615
0,32,9.564491
0,10,9.592269
0,32,9.671971
0,40,9.776002
0,40,9.875661
0,28,9.947107
0,33,10.030105
0,19,10.080204
0,19,10.129553
0,60,10.308551
0,42,10.469738
0,13,10.51701
0,3,10.534471
0,13,10.582036
0,37,10.716418
0,15,10.772613
0,5,10.793874
0,40,10.937135
0,8,10.966167
0,14,11.024201
0,15,11.070081
0,33,11.170412
0,35,11.276424
0,16,11.324083
0,44,11.447164
0,103,11.752609
0,28,11.827649
0,34,11.913287
0,26,11.982354
0,37,12.072582
0,9,12.097866
0,58,12.248509
0,57,12.44237
0,14,12.487887
0,45,12.62108
0,40,12.779563
0,46,12.935776
0,22,12.993556
0,18,13.041473
0,29,13.119119
0,40,13.221404
0,21,13.277639
0,12,13.310794
0,30,13.401627
0,8,13.431791
0,8,13.458569
0,38,13.573524
0,25,13.637189
0,44,13.752512
0,25,13.81374
0,8,13.835773
0,23,13.905717
0,33,14.000323
0,26,14.077688
0,53,14.293124
0,20,14.358484
0,36,14.468642
0,49,14.59741
0,19,14.655828
0,32,14.754469
0,26,14.830428
0,48,14.968387
0,40,15.137928
0,15,15.197567
0,15,15.255034
0,17,15.31121
0,44,15.454175
0,80,15.726211
0,35,15.85577
0,142,16.239665
0,27,16.318117
0,15,16.375951
0,10,16.42177
0,31,16.517935
0,31,16.595088
0,9,16.620129
0,81,16.820599
0,28,16.893005
0,29,16.9708
0,22,17.024835
0,18,17.069516
0,13,17.102663
0,34,17.189947
0,40,17.288019
0,32,17.364575
0,19,17.41093
0,22,17.472333
0,35,17.579666
0,38,17.682
0,40,17.77877
0,40,17.874191
0,40,17.975402
0,39,18.069848
0,26,18.133771
0,20,18.183282
0,22,18.237611
0,17,18.282169
0,36,18.374586
0,2,18.384027
0,17,18.439374
0,6,18.464087
0,12,18.508866
0,37,18.615073
0,29,18.686314
0,40,18.790872
0,40,18.896989
0,15,18.937354
0,34,19.028092
0,18,19.073201
0,12,19.103982
0,56,19.257537
0,22,19.311929
0,98,19.563455
0,40,19.683241
0,36,19.77072
0,78,19.964002
0,14,20.004817
0,19,20.051
0,40,20.145859
0,19,20.193214
0,31,20.26894
0,26,20.331775
0,38,20.424393
0,32,20.560923
0,22,20.61949
0,20,20.672014
0,49,20.819833
0,26,20.88491
0,33,20.969015
0,13,21.007985
0,45,21.128008
0,46,21.246221
0,16,21.288839
0,30,21.365185
0,27,21.447634
0,24,21.543068
0,40,21.69004
0,40,21.83782
0,63,22.061797
0,4,22.080486
0,25,22.164904
0,18,22.222714
0,40,22.347396
0,39,22.510551
0,22,22.608062
0,26,22.677724
0,30,22.753991
0,40,22.854798
0,25,22.918905
0,21,22.976661
0,36,23.072127
0,27,23.141802
0,40,23.24331
0,25,23.318245
0,40,23.434196
0,61,23.605635
0,18,23.661709
0,14,23.700711
0,35,23.791675
0,46,23.914449
0,27,23.983515
0,40,24.084931
0,17,24.131916
0,13,24.167436
0,53,24.305625
0,40,24.407973
0,37,24.502871
0,18,24.552254
0,25,24.62355
0,35,24.716244
0,11,24.747708
0,9,24.773542
0,28,24.843612
0,32,24.92513
0,29,25.000322
0,40,25.101244
