#{"t_start": 1620885391.553459, "env_id": null}
r,l,t
-0.9,2,0.04975
0.2,3,0.079123
-0.9,2,0.096078
0.2,3,0.134256
-0.5,8,0.202877
7.0,12,0.275582
-6,3,0.296277
0.2,3,0.326487
1.3,4,0.364982
1.3,4,0.399399
6.8,9,0.454482
4.8,10,0.506197
-2.5,10,0.583965
0.2,3,0.623805
-0.7,5,0.655663
0.2,3,0.683889
0.4,6,0.737656
-0.9,2,0.759741
-0.9,2,0.779501
-0.9,2,0.803094
0.2,3,0.827287
-1.8,4,0.862166
1.3,4,0.894256
0.2,3,0.918701
3.7,9,0.987405
0.2,3,1.020639
11.0,11,1.10317
1.3,4,1.148047
-1.6,7,1.196087
-0.7,5,1.238096
0.2,3,1.25787
-0.9,2,1.281721
4.6,7,1.336557
3.5,7,1.378556
-0.9,2,1.401411
-0.7,5,1.437584
2.4,5,1.473135
-2.5,9,1.531428
1.3,4,1.563354
1.5,7,1.606563
-0.9,2,1.630184
0.2,3,1.653856
-0.7,5,1.692746
2.4,5,1.723574
-0.9,2,1.752108
-1.2,13,1.834484
-2.1,15,1.909365
3.5,6,1.950073
0.2,3,1.973657
-0.9,2,1.995146
4.6,7,2.042426
2.6,8,2.09346
-0.9,2,2.111462
0.2,3,2.139413
2.4,5,2.176776
0.2,3,2.206086
2.6,8,2.264854
2.4,5,2.30003
-0.9,2,2.319447
-1.8,4,2.352509
-0.9,2,2.373429
1.1,2,2.399842
0.2,3,2.452161
-0.9,2,2.474502
1.5,7,2.526213
0.2,3,2.547335
1.1,2,2.56944
-0.7,5,2.596338
-6.9,5,2.626234
-4,2,2.646999
-0.9,2,2.663953
0.2,3,2.685427
-0.9,2,2.707405
-0.9,2,2.725943
-0.9,2,2.74408
-2.7,6,2.779303
-0.9,2,2.799721
1.1,2,2.83014
1.3,4,2.862236
2.4,5,2.898306
2.4,5,2.941619
1.3,4,2.97495
0.2,3,3.00003
-10.5,13,3.075773
-2.7,7,3.125489
-5.2,15,3.205966
-1.8,4,3.236661
-0.9,2,3.256674
4.6,7,3.321224
-2.9,3,3.350277
-2.9,3,3.375575
-0.9,2,3.401064
-0.9,2,3.418666
-0.9,2,3.442208
5.7,8,3.494843
4.6,8,3.542494
-0.9,2,3.562686
4.4,5,3.610191
0.2,3,3.634173
3.3,4,3.659859
1.5,8,3.699343
4.4,5,3.737357
1.1,2,3.75347
4.4,5,3.777382
-4.7,8,3.824571
3.3,4,3.852447
4.6,8,3.908667
0.2,3,3.936578
2.2,3,3.961305
1.1,2,3.978014
0.2,4,4.013834
1.3,5,4.042636
1.1,2,4.062729
0.2,3,4.089175
0.4,6,4.120202
2.2,3,4.143814
1.1,2,4.162488
0.2,3,4.182036
2.4,6,4.221407
2.6,9,4.267015
-1.8,5,4.302253
3.5,6,4.34062
2.2,3,4.361976
7.7,8,4.403072
1.3,4,4.433587
1.3,4,4.462433
0.2,3,4.502045
3.3,4,4.531671
-1.5,24,4.683653
1.1,2,4.706363
2.2,3,4.730474
0.4,7,4.779137
4.6,8,4.849697
13.0,11,4.92601
1.3,5,4.97307
1.1,2,4.990863
-1.8,5,5.034118
2.2,3,5.059219
3.3,4,5.09041
8.8,9,5.145654
-0.7,5,5.193251
2.2,3,5.213597
4.4,5,5.248681
1.1,2,5.265813
1.1,2,5.284618
2.2,3,5.309601
1.1,2,5.330303
1.1,2,5.346194
3.3,4,5.373395
-0.7,5,5.406626
1.3,4,5.429546
1.1,2,5.445512
5.7,9,5.495858
2.4,6,5.535735
-0.7,6,5.566775
1.1,2,5.583804
1.1,2,5.604133
5.5,6,5.640594
1.1,2,5.660128
1.1,2,5.679076
1.1,2,5.694788
1.3,4,5.729023
0.2,3,5.752776
2.2,3,5.769932
1.7,11,5.834991
2.6,8,5.879823
4.4,5,5.907196
1.3,4,5.943593
2.2,3,5.967713
4.6,7,6.012927
2.2,3,6.041106
1.1,2,6.065004
4.6,8,6.125891
2.4,5,6.177642
-0.7,6,6.224425
2.2,3,6.256812
4.6,7,6.314278
1.1,2,6.328502
1.1,2,6.342695
1.1,2,6.36186
2.2,3,6.387997
-4.7,7,6.426471
7.7,8,6.475609
2.2,3,6.497592
4.4,5,6.527375
4.4,5,6.565042
-1.4,10,6.617148
3.3,4,6.649415
2.2,3,6.670143
1.1,2,6.687851
1.3,5,6.723906
3.3,4,6.747248
1.3,4,6.770695
1.1,2,6.798161
0.2,4,6.819163
3.3,4,6.843708
3.3,4,6.874358
2.4,5,6.952153
3.5,6,7.144223
-2.5,9,7.240842
-0.9,2,7.276078
1.3,4,7.329077
-0.9,2,7.364978
-4,2,7.405807
5.9,11,7.556755
-0.9,2,7.585097
4.6,7,7.657865
2.4,5,7.754434
1.3,4,7.787722
-0.9,2,7.814239
-2.5,9,7.867469
-1.6,7,7.903826
